uniprot_id	gene_name
H7C0M2	ABCB4
Q2M3G0	ABCB5
J3KQ04	ABCB5
H7C165	ABCB5
Q9NP58	ABCB6
H7C245	ABCB6
H7C3Z0	ABCB6
H7BXK9	ABCB6
H7C049	ABCB6
H7C1R6	ABCB6
O75027	ABCB7
B4DGL8	ABCB7
G3XAC4	ABCB7
E9PNQ5	ABCB7
E9PJR8	ABCB7
Q9NUT2	ABCB8
F2Z3G8	ABCB8
G3XAP3	ABCB8
F2Z2Z1	ABCB8
C9JTY4	ABCB8
A5D8W3	ABCB8
F8WC43	ABCB8
C9JA03	ABCB8
E7ENE8	ABCB8
C9JYI3	ABCB8
H7C5K9	ABCB8
Q9NP78	ABCB9
Q6P2Q0	ABCB9
F5GX63	ABCB9
F5GXZ5	ABCB9
F5H7U2	ABCB9
F5H0G0	ABCB9
F5GYI2	ABCB9
F5GX86	ABCB9
F5H5Q0	ABCB9
F5H5F9	ABCB9
F5H4Y2	ABCB9
F5H5I5	ABCB9
H7C478	ABCB9
P33527	ABCC1
I3L2H9	ABCC1
I3L4X2	ABCC1
Q5T3U5	ABCC10
H0Y904	ABCC10
H0Y707	ABCC10
D6R9B3	ABCC10
Q96J66	ABCC11
F5H410	ABCC11
H3BRJ2	ABCC11
Q96J65	ABCC12
B4DYN2	ABCC12
E9PHY2	ABCC12
Q9NSE7	ABCC13
Q92887	ABCC2
Q5TCZ5	ABCC2
O15438	ABCC3
H0Y8T5	ABCC3
D6RJE5	ABCC3
D6RAB7	ABCC3
H0Y9T4	ABCC3
H0Y8Q6	ABCC3
O15439	ABCC4
Q8IUA3	ABCC4
B7Z3Q7	ABCC4
O15440	ABCC5
Q86UX3	ABCC5
A5PKY6	ABCC5
E9PET4	ABCC5
C9JZL5	ABCC5
F8WCY8	ABCC5
F8WDH3	ABCC5
H7C271	ABCC5
O95255	ABCC6
E7ESW8	ABCC6
I3L1Z6	ABCC6
Q09428	ABCC8
E9PK50	ABCC8
H0YDH8	ABCC8
H0YF51	ABCC8
H0YE33	ABCC8
H0YEA9	ABCC8
O60706	ABCC9
K4DI86	ABCC9
G3V1N6	ABCC9
Q8N4N7	ABCC9
H0YFV4	ABCC9
P33897	ABCD1
A6NEP8	ABCD1
H0Y7L9	ABCD1
Q9UBJ2	ABCD2
P28288	ABCD3
F5GYC1	ABCD3
E7EUE1	ABCD3
O14678	ABCD4
E9PI46	ABCD4
E9PPB6	ABCD4
H0YJ78	ABCD4
H0YJX8	ABCD4
G3V4U7	ABCD4
H0YJL8	ABCD4
F8W7M4	ABCD4
G3V3W1	ABCD4
H0YCY9	ABCD4
H0YJ82	ABCD4
P61221	ABCE1
H0Y990	ABCE1
D6RGF4	ABCE1
D6R9I9	ABCE1
Q8NE71	ABCF1
Q5STZ7	ABCF1
Q5STZ8	ABCF1
F8VQZ0	ABCF1
E9PC67	ABCF1
F5GYK6	ABCF1
H0YGW7	ABCF1
Q9UG63	ABCF2
Q75MJ1	ABCF2
C9JZV3	ABCF2
C9JHK9	ABCF2
Q9NUQ8	ABCF3
F8WCU6	ABCF3
P45844	ABCG1
C9JKD9	ABCG1
E9PGV9	ABCG1
E7ERE5	ABCG1
H7C4M6	ABCG1
H7C5J9	ABCG1
H7C5M2	ABCG1
Q9UNQ0	ABCG2
H0YAF1	ABCG2
H0YAF3	ABCG2
Q9H172	ABCG4
E9PPE3	ABCG4
E9PJ00	ABCG4
Q9H222	ABCG5
Q2T9G2	ABCG5
E5RFY8	ABCG5
E5RHB7	ABCG5
E7EX35	ABCG5
Q9H221	ABCG8
Q96SE0	ABHD1
F8WBB3	ABHD1
E9PDR9	ABHD1
C9J8C2	ABHD1
Q9NUJ1	ABHD10
B7Z6A8	ABHD10
C9IZX5	ABHD10
F8WBJ5	ABHD10
F8WBQ6	ABHD10
Q8NFV4	ABHD11
H7BZ58	ABHD11
H0YC52	ABHD11
H7C396	ABHD11
H7BYM8	ABHD11
C9J7Q4	ABHD11
Q8N2K0	ABHD12
I3L1V0	ABHD12
I3L380	ABHD12
Q5T712	ABHD12
I3L294	ABHD12
I3L142	ABHD12
I3L440	ABHD12
I3L206	ABHD12
Q7Z5M8	ABHD12B
Q7L211	ABHD13
Q9BUJ0	ABHD14A
C9JMW6	ABHD14A
C9IYJ8	ABHD14A
C9J7W8	ABHD14A
F2Z3Q0	ABHD14A-ACY1
C9JMV9	ABHD14A-ACY1
Q96IU4	ABHD14B
B4DQI4	ABHD14B
F8W9U3	ABHD14B
Q6UXT9	ABHD15
O95870	ABHD16A
F6WSP1	ABHD16A
F2Z3Q3	ABHD16A
B7Z8I9	ABHD16A
F2Z3H2	ABHD16A
B0UXB6	ABHD16A
F2Z3G6	ABHD16A
Q9H3Z7	ABHD16B
P08910	ABHD2
H3BN19	ABHD2
H3BMT2	ABHD2
H3BUZ6	ABHD2
Q8WU67	ABHD3
B7Z5C2	ABHD3
J3QQR0	ABHD3
J3KSP1	ABHD3
J3QR14	ABHD3
J3KTE1	ABHD3
Q8TB40	ABHD4
B4DDH7	ABHD4
H0YFD5	ABHD4
F5H067	ABHD4
J3KMW0	ABHD4
F5GZC9	ABHD4
F5H6T0	ABHD4
Q8WTS1	ABHD5
F8W7B5	ABHD5
C9J1D1	ABHD5
C9JBM3	ABHD5
H7BZY9	ABHD5
Q9BV23	ABHD6
C9JNE7	ABHD6
C9J010	ABHD6
F8WBP4	ABHD6
Q96I13	ABHD8
Q8IZP0	ABI1
A6NFN2	ABI1
F8WA56	ABI1
F8WA55	ABI1
F5H1G9	ABI1
Q9NYB9	ABI2
H7C3Q7	ABI2
E7EP65	ABI2
F8WCD7	ABI2
E7EUA1	ABI2
F8WAQ3	ABI2
J3KNB2	ABI2
F8WAL6	ABI2
F8WEB9	ABI2
F8WBL5	ABI2
E9PEZ7	ABI2
F8WAZ8	ABI2
E7EW77	ABI2
F8WAU3	ABI2
H0Y6B5	ABI2
Q9P2A4	ABI3
I3L1X2	ABI3
I3L3W4	ABI3
Q7Z7G0	ABI3BP
B4DSV9	ABI3BP
H0YEA0	ABI3BP
E9PPR9	ABI3BP
H0Y897	ABI3BP
E9PRB5	ABI3BP
D3YTG3	ABI3BP
H7C524	ABI3BP
H0YF18	ABI3BP
H0YEL2	ABI3BP
H0YF57	ABI3BP
H0YDN0	ABI3BP
H7C4S3	ABI3BP
H7C4T1	ABI3BP
H7C4X4	ABI3BP
H0YDW0	ABI3BP
H7C4N5	ABI3BP
H0YCP4	ABI3BP
H7C556	ABI3BP
H7C4H3	ABI3BP
H0YCG4	ABI3BP
H7C5S3	ABI3BP
P00519	ABL1
Q13688	ABL1
P42684	ABL2
O14639	ABLIM1
Q5JVV3	ABLIM1
F8W8M4	ABLIM1
F6XFR5	ABLIM1
Q5T6N2	ABLIM1
J3QSX6	ABLIM1
H0Y7N6	ABLIM1
H0Y3K7	ABLIM1
Q5T6N4	ABLIM1
Q6H8Q1	ABLIM2
D6RAL0	ABLIM2
E9PF39	ABLIM2
F5GYR0	ABLIM2
F8W6D8	ABLIM2
F5GZL6	ABLIM2
O94929	ABLIM3
D6RHE7	ABLIM3
P16442	ABO
P19801	ABP1
C9J0G8	ABP1
C9J690	ABP1
C9J2J4	ABP1
Q12979	ABR
F5H8B3	ABR
B7Z683	ABR
I3L379	ABR
I3L434	ABR
I3L1U8	ABR
I3L259	ABR
I3L2L3	ABR
I3L4Y1	ABR
I3NI05	ABR
I3L3W0	ABR
I3L2P5	ABR
I3L2C0	ABR
I3L0R7	ABR
Q8N0Z2	ABRA
Q9P1F3	ABRACL
Q9ULW3	ABT1
Q969K4	ABTB1
F2Z3F5	ABTB1
H7C4W8	ABTB1
Q8N961	ABTB2
P09110	ACAA1
F2Z3P7	ACAA1
B4DVF4	ACAA1
G5E935	ACAA1
B4E072	ACAA1
F2Z2Q6	ACAA1
C9JDE9	ACAA1
H7C131	ACAA1
H0Y4D4	ACAA1
P42765	ACAA2
K7EJB1	ACAA2
K7ER88	ACAA2
K7EME0	ACAA2
K7EJ68	ACAA2
Q13085	ACACA
A8MYL5	ACACA
Q59FY4	ACACA
K4DID9	ACACA
K7EII5	ACACA
K7EK64	ACACA
D3YTK0	ACACA
K7EMF7	ACACA
K7EPF1	ACACA
K7EJ22	ACACA
O00763	ACACB
E9PEW7	ACACB
F5H8F2	ACACB
F5H3T2	ACACB
F6QQI9	ACACB
F5H5C3	ACACB
F8W8T8	ACACB
H0YGH5	ACACB
Q6JQN1	ACAD10
F8W179	ACAD10
F8W1I9	ACAD10
F8VW35	ACAD10
F8VWG8	ACAD10
D6RFF6	ACAD10
F8VZG7	ACAD10
F8VXK4	ACAD10
F8W0Q4	ACAD10
F8W1A9	ACAD10
Q709F0	ACAD11
Q08AE9	ACAD11
D6RDI8	ACAD11
F8WEV0	ACAD11
H0Y9C6	ACAD11
Q9UKU7	ACAD8
B7Z7F1	ACAD8
B7Z5W4	ACAD8
Q6ZWP6	ACAD8
E9PKP9	ACAD8
E9PLS3	ACAD8
H0YDR9	ACAD8
Q9H845	ACAD9
D6RDK9	ACAD9
D6RCD8	ACAD9
D6RGK6	ACAD9
H0Y8Z9	ACAD9
D6R9Z3	ACAD9
D6RJA8	ACAD9
P28330	ACADL
P11310	ACADM
B4DJE7	ACADM
B7Z9I1	ACADM
Q5T4U5	ACADM
E9PIX8	ACADM
H0YDT5	ACADM
E9PQA8	ACADM
E9PLN7	ACADM
E9PRX4	ACADM
E9PJM9	ACADM
P16219	ACADS
E9PE82	ACADS
P45954	ACADSB
B4DQ51	ACADSB
H0Y6T4	ACADSB
P49748	ACADVL
J3QRJ8	ACADVL
K7EQP4	ACADVL
K7EJW8	ACADVL
J9JID6	ACADVL
J3KSR4	ACADVL
G3V1M7	ACADVL
J3QKU9	ACADVL
J3KS89	ACADVL
K7EMF8	ACADVL
P16112	ACAN
E7EX88	ACAN
Q6PID9	ACAN
H0YMF1	ACAN
H0YK70	ACAN
E7ENV9	ACAN
H0YM81	ACAN
Q15027	ACAP1
I3L2Z4	ACAP1
I3L268	ACAP1
I3L0K9	ACAP1
I3L3X6	ACAP1
Q15057	ACAP2
C9J8L1	ACAP2
H7C3K3	ACAP2
F8WAU0	ACAP2
H7C1E0	ACAP2
H7C3Q8	ACAP2
Q96P50	ACAP3
F8W850	ACAP3
P24752	ACAT1
G3XAB4	ACAT1
H0YEL7	ACAT1
E9PRQ6	ACAT1
E9PKF3	ACAT1
Q9BWD1	ACAT2
B7Z233	ACAT2
Q9H3P7	ACBD3
Q8NC06	ACBD4
K7EM05	ACBD4
K7EMH4	ACBD4
Q5T8D3	ACBD5
B7Z2A7	ACBD5
Q5T8E0	ACBD5
Q9BR61	ACBD6
Q8N6N7	ACBD7
Q96QU6	ACCS
B4E219	ACCS
E9PS61	ACCS
E9PRT9	ACCS
Q4AC99	ACCSL
E9PI59	ACCSL
Q96AP0	ACD
P12821	ACE
L7MUH0	ACE
J3KRH5	ACE
J3KSQ5	ACE
J3KTH9	ACE
F5H1K1	ACE
F6X3S4	ACE
J3KTB8	ACE
J3QLR4	ACE
J3QRX8	ACE
J3QKZ3	ACE
J3QSC7	ACE
J3KRQ0	ACE
J3KS28	ACE
Q9BYF1	ACE2
Q8TDN7	ACER1
Q5QJU3	ACER2
Q9NUN7	ACER3
B7Z2Q2	ACER3
B7Z2V2	ACER3
E9PKR3	ACER3
E9PJS5	ACER3
E9PR08	ACER3
E9PLZ9	ACER3
F5GYA0	ACER3
E9PIN9	ACER3
E9PL35	ACER3
J3KN85	ACER3
P22303	ACHE
C9JUK5	ACHE
C9JD78	ACHE
F8WD34	ACHE
C9JZL6	ACHE
C9J2S3	ACHE
F8WD68	ACHE
F8WAR7	ACHE
Q9UKV3	ACIN1
G3V3B0	ACIN1
G3V3T3	ACIN1
E7EQT4	ACIN1
P53396	ACLY
B4E3P0	ACLY
K7EIE7	ACLY
K7ESG8	ACLY
Q8TDX5	ACMSD
Q9NRP4	ACN9
F8W9V1	ACN9
P21399	ACO1
Q5VZA6	ACO1
Q99798	ACO2
A2A274	ACO2
Q86TX2	ACOT1
G3V4F2	ACOT1
Q8WXI4	ACOT11
Q8WYK0	ACOT12
Q5FWE9	ACOT12
Q9NPJ3	ACOT13
F5H2L4	ACOT13
P49753	ACOT2
B3KSA0	ACOT2
Q8N9L9	ACOT4
Q3I5F7	ACOT6
G3V3W6	ACOT6
O00154	ACOT7
B4DUX0	ACOT7
F5GWE2	ACOT7
K7EKP8	ACOT7
Q6ZUV0	ACOT7L
O14734	ACOT8
Q9BR14	ACOT8
E9PMC4	ACOT8
E9PIS4	ACOT8
E9PRD4	ACOT8
E9PJN0	ACOT8
F6VBM3	ACOT8
H0Y698	ACOT8
H7C5A7	ACOT8
Q9Y305	ACOT9
C9J7L8	ACOT9
F8WDI2	ACOT9
H7C5Q2	ACOT9
Q15067	ACOX1
I3L2U4	ACOX1
F5H0M0	ACOX1
I3L4S5	ACOX1
K7ELT1	ACOX1
F5GYQ8	ACOX1
K7ENF1	ACOX1
K7ESC7	ACOX1
I3L0T4	ACOX1
Q99424	ACOX2
H7C4Q2	ACOX2
C9J0G0	ACOX2
C9JY29	ACOX2
H7C4Y2	ACOX2
H7C573	ACOX2
O15254	ACOX3
D6RJ89	ACOX3
Q9NUZ1	ACOXL
H7C2M3	ACOXL
H7C345	ACOXL
C9JQI3	ACOXL
H7C0A6	ACOXL
E9PB20	ACOXL
P24666	ACP1
F2Z2R9	ACP1
G5E9R5	ACP1
F2Z2Q9	ACP1
B5MCC7	ACP1
D3YTI2	ACP1
P11117	ACP2
B7Z7D2	ACP2
G5EA28	ACP2
B7Z6U3	ACP2
E9PP23	ACP2
E9PHY0	ACP2
E9PQY3	ACP2
E9PKW9	ACP2
F5GWV7	ACP2
E9PQW9	ACP2
P13686	ACP5
K7EJD9	ACP5
K7ESF2	ACP5
K7ES19	ACP5
K7EIP0	ACP5
Q9NPH0	ACP6
Q8TE99	ACPL2
B7Z3R9	ACPL2
B7Z4T2	ACPL2
D6RDP0	ACPL2
D6R928	ACPL2
E9PDB7	ACPL2
D6RGE3	ACPL2
D6RE60	ACPL2
P15309	ACPP
Q5FBY0	ACPP
E9PFE6	ACPP
H0Y8T3	ACPP
Q9BZG2	ACPT
P10323	ACR
E9PLV5	ACR
Q8NEB7	ACRBP
F5H3P4	ACRBP
E7EP66	ACRBP
F5H5S8	ACRBP
F5H2C2	ACRBP
Q96QF7	ACRC
P26436	ACRV1
K4DI85	ACRV1
Q96GR2	ACSBG1
F5H4U6	ACSBG1
H0YM34	ACSBG1
H0YMZ0	ACSBG1
H0YMH2	ACSBG1
H0YMF5	ACSBG1
H0YNX0	ACSBG1
H0YMC3	ACSBG1
Q5FVE4	ACSBG2
K7ESF1	ACSBG2
K7EL11	ACSBG2
K7ERT0	ACSBG2
K7EKE4	ACSBG2
K7EMB4	ACSBG2
K7ESC8	ACSBG2
Q96CM8	ACSF2
B4DHT5	ACSF2
B4DFQ6	ACSF2
B4DUF5	ACSF2
H0Y8N1	ACSF2
E7EN53	ACSF2
D6RF87	ACSF2
H0Y8Y5	ACSF2
D6RF15	ACSF2
E9PF16	ACSF2
Q4G176	ACSF3
F5H2G6	ACSF3
F5H5A1	ACSF3
F5GX20	ACSF3
F5H3B2	ACSF3
F5H362	ACSF3
F5H755	ACSF3
H0YGJ0	ACSF3
H3BTS0	ACSF3
H0YGC7	ACSF3
H0YH37	ACSF3
P33121	ACSL1
B7Z452	ACSL1
B7Z3Z9	ACSL1
E7EPM6	ACSL1
H0Y9Z9	ACSL1
D6RER0	ACSL1
H0Y9U7	ACSL1
D6RG07	ACSL1
O95573	ACSL3
F5H062	ACSL3
C9JC11	ACSL3
F5GWH2	ACSL3
H7C260	ACSL3
H7BYZ7	ACSL3
O60488	ACSL4
D6RDA8	ACSL4
D6RF95	ACSL4
D6RFW9	ACSL4
H0Y9A0	ACSL4
D6RD96	ACSL4
Q9ULC5	ACSL5
B4DX30	ACSL5
Q9UKU0	ACSL6
G3V1S9	ACSL6
C9J3Z0	ACSL6
C9J8C7	ACSL6
E7ERD7	ACSL6
C9JK59	ACSL6
J3KPG3	ACSL6
C9JPA5	ACSL6
C9J4I1	ACSL6
C9JT10	ACSL6
Q08AH1	ACSM1
E5RFK0	ACSM1
H0YAU5	ACSM1
Q08AH3	ACSM2A
E7EPS5	ACSM2A
F5H4B8	ACSM2A
F5GWL3	ACSM2A
I3L438	ACSM2A
I3L339	ACSM2A
I3L2Y5	ACSM2A
Q68CK6	ACSM2B
H3BNJ9	ACSM2B
H3BP39	ACSM2B
H3BRR3	ACSM2B
H3BM61	ACSM2B
H3BQ84	ACSM2B
H3BP79	ACSM2B
H3BTX9	ACSM2B
Q53FZ2	ACSM3
E7ETR5	ACSM3
H3BUF2	ACSM3
H3BTG0	ACSM3
H3BV29	ACSM3
H3BR33	ACSM3
H3BVD5	ACSM3
H3BSM0	ACSM3
H3BT38	ACSM3
P0C7M7	ACSM4
Q6NUN0	ACSM5
I3L536	ACSM5
Q6P461	ACSM6
Q9NUB1	ACSS1
Q6ZV30	ACSS1
Q5TF43	ACSS1
Q9NR19	ACSS2
Q5QPH3	ACSS2
B4DEH9	ACSS2
C9JXD9	ACSS2
F8WDJ9	ACSS2
C9J7L5	ACSS2
F8WBQ7	ACSS2
F8WB02	ACSS2
F8WC73	ACSS2
F8WCJ4	ACSS2
C9IYL0	ACSS2
E7EWU3	ACSS2
C9JY31	ACSS2
Q9H6R3	ACSS3
F8VZB4	ACSS3
H0YII9	ACSS3
P68133	ACTA1
Q5T8M7	ACTA1
Q5T8M8	ACTA1
A6NL76	ACTA1
P62736	ACTA2
F6UVQ4	ACTA2
F6QUT6	ACTA2
P60709	ACTB
G5E9R0	ACTB
C9JTX5	ACTB
C9JZR7	ACTB
E7EVS6	ACTB
C9JUM1	ACTB
Q562R1	ACTBL2
P68032	ACTC1
P63261	ACTG1
K7EM38	ACTG1
J3KT65	ACTG1
I3L3I4	ACTG1
I3L3R2	ACTG1
I3L1U9	ACTG1
I3L3I0	ACTG1
I3L4N8	ACTG1
P63267	ACTG2
C9JFL5	ACTG2
B8ZZJ2	ACTG2
F8WB63	ACTG2
F8WCH0	ACTG2
Q5JWF8	ACTL10
O96019	ACTL6A
C9JQT2	ACTL6A
H7C5S0	ACTL6A
O94805	ACTL6B
C9JQT4	ACTL6B
Q9Y615	ACTL7A
Q9Y614	ACTL7B
Q9H568	ACTL8
Q8TC94	ACTL9
P12814	ACTN1
B7TY16	ACTN1
H7C5W8	ACTN1
G3V2N5	ACTN1
G3V380	ACTN1
H0YJW3	ACTN1
H9KV75	ACTN1
H0YJ11	ACTN1
G3V2E8	ACTN1
G3V2W4	ACTN1
G3V5M4	ACTN1
G3V2X9	ACTN1
P35609	ACTN2
B7Z4P8	ACTN2
B2RCS5	ACTN2
Q08043	ACTN3
D6RH00	ACTN3
O43707	ACTN4
D6PXK4	ACTN4
H7C144	ACTN4
F5GXS2	ACTN4
K7EJH8	ACTN4
K7EP19	ACTN4
Q9NZ32	ACTR10
H0YJR3	ACTR10
G3V2Q5	ACTR10
G3V5Y4	ACTR10
H0YJD9	ACTR10
F6S9Y6	ACTR10
G3V524	ACTR10
G3V4K6	ACTR10
H0YJE8	ACTR10
P61163	ACTR1A
B4DXP9	ACTR1A
F5H3I4	ACTR1A
P42025	ACTR1B
G5E9Q5	ACTR1B
P61160	ACTR2
F5H6T1	ACTR2
E9PF41	ACTR2
P61158	ACTR3
B4DXW1	ACTR3
F8WDR7	ACTR3
F8WEW2	ACTR3
F8WE84	ACTR3
F5H3P5	ACTR3
Q9P1U1	ACTR3B
Q9C0K3	ACTR3C
C9IZN3	ACTR3C
H7C4J1	ACTR3C
C9J580	ACTR3C
Q9H9F9	ACTR5
Q9GZN1	ACTR6
F8VP72	ACTR6
G3V1Y1	ACTR6
F8W043	ACTR6
F8VRL1	ACTR6
F8W057	ACTR6
F8W0Q1	ACTR6
F8VSD1	ACTR6
Q9H981	ACTR8
C9J7L6	ACTR8
H0Y849	ACTR8
Q8TDG2	ACTRT1
Q8TDY3	ACTRT2
Q9BYD9	ACTRT3
Q04771	ACVR1
C9JHJ7	ACVR1
C9J1R3	ACVR1
F5GY91	ACVR1
C9JW28	ACVR1
P36896	ACVR1B
F5H5Q2	ACVR1B
Q8NER5	ACVR1C
P27037	ACVR2A
B4DWQ2	ACVR2A
Q13705	ACVR2B
P37023	ACVRL1
D9IPD9	ACVRL1
G3V1W8	ACVRL1
E7EN07	ACVRL1
H3BTZ2	ACVRL1
F8W0N2	ACVRL1
Q03154	ACY1
B4DNW0	ACY1
C9J6I6	ACY1
C9JWD4	ACY1
F8WC59	ACY1
C9J9D8	ACY1
C9JYZ0	ACY1
Q96HD9	ACY3
E9PRA7	ACY3
P07311	ACYP1
G3V2U7	ACYP1
G3V3F8	ACYP1
G3V597	ACYP1
P14621	ACYP2
E9PF46	ACYP2
F8WA34	ACYP2
P00813	ADA
F5GWI4	ADA
F5GXW0	ADA
F5GYD4	ADA
Q96M93	ADAD1
C9JGM6	ADAD1
C9JAT9	ADAD1
Q8NCV1	ADAD2
H3BNP6	ADAD2
Q6DHV7	ADAL
H3BQR9	ADAL
H3BUD6	ADAL
O14672	ADAM10
B5MC71	ADAM10
B4DU28	ADAM10
H0YNC5	ADAM10
C9J9B4	ADAM10
H0YK87	ADAM10
H3BS53	ADAM10
H0YK32	ADAM10
O75078	ADAM11
B4DKD2	ADAM11
H7BY08	ADAM11
K7EKA8	ADAM11
O43184	ADAM12
Q5JRP2	ADAM12
Q13444	ADAM15
A6NG98	ADAM15
P78536	ADAM17
E7EUI5	ADAM17
Q9Y3Q7	ADAM18
Q0VAI3	ADAM18
E5RIP0	ADAM18
E5RK96	ADAM18
E5RGL0	ADAM18
Q9H013	ADAM19
E9PD32	ADAM19
E5RIS2	ADAM19
E7ENW4	ADAM19
H0YC66	ADAM19
Q99965	ADAM2
B4DWY7	ADAM2
Q6P2G0	ADAM2
O43506	ADAM20
Q9UKJ8	ADAM21
Q9P0K1	ADAM22
G5E951	ADAM22
H7C3I4	ADAM22
H7C0Q9	ADAM22
E7EPF1	ADAM22
E9PF78	ADAM22
F8WAD8	ADAM22
O75077	ADAM23
E7EWD3	ADAM23
H7C2M6	ADAM23
Q9UKQ2	ADAM28
B4DDY3	ADAM28
H0YBG8	ADAM28
E5RJQ1	ADAM28
E7EMU1	ADAM28
E5RGY1	ADAM28
H0YBQ8	ADAM28
Q9UKF5	ADAM29
D6RIU9	ADAM29
D6RHU0	ADAM29
D6RBU0	ADAM29
Q9UKF2	ADAM30
Q8TC27	ADAM32
E7EPX8	ADAM32
E7ER82	ADAM32
E3W988	ADAM32
E5RJE6	ADAM32
E5RGK7	ADAM32
E5RJY7	ADAM32
Q9BZ11	ADAM33
A2A2L3	ADAM33
Q6NVV9	ADAM5
Q9H2U9	ADAM7
Q6PEJ6	ADAM7
C9JK28	ADAM7
E5RK87	ADAM7
P78325	ADAM8
H0YN39	ADAM8
H0YL36	ADAM8
H0YKZ1	ADAM8
H0YMT6	ADAM8
Q13443	ADAM9
A0AVL1	ADAM9
C9JPM3	ADAM9
C9J6H5	ADAM9
F8WC54	ADAM9
O15204	ADAMDEC1
E5RK05	ADAMDEC1
Q9UHI8	ADAMTS1
H7C206	ADAMTS1
E5RJR7	ADAMTS1
E5RI60	ADAMTS1
Q9H324	ADAMTS10
P58397	ADAMTS12
D6REX0	ADAMTS12
Q76LX8	ADAMTS13
E7EV88	ADAMTS13
Q8WXS8	ADAMTS14
Q8TE58	ADAMTS15
Q8TE57	ADAMTS16
Q2XQZ0	ADAMTS16
Q8TE56	ADAMTS17
H0YMH1	ADAMTS17
H3BRA9	ADAMTS17
H3BV94	ADAMTS17
Q8TE60	ADAMTS18
B4DEX3	ADAMTS18
H3BTZ3	ADAMTS18
