Bait	Prey	MiST score
CA	P10599	0.00000
CA	P10606	0.00000
CA	P10809	0.00000
CA	P11055	0.00000
CA	P11166	0.00000
CA	P11177	0.00000
CA	P11310	0.00000
CA	P11387	0.00000
CA	P11441	0.00000
CA	P11474	0.00000
CA	P11586	0.00000
CA	P11678	0.00000
CA	P11717	0.00000
CA	P11802	0.00000
CA	P11831	0.00000
CA	P11908	0.00000
CA	P11940	0.00000
CA	P12004	0.00000
CA	P12035	0.00000
CA	P12036	0.00000
CA	P12081	0.00000
CA	P12235	0.00000
CA	P12236	0.00000
CA	P12532	0.00000
CA	P12724	0.00000
CA	P12829	0.00000
CA	P12882	0.00000
CA	P12883	0.00000
CA	P12956	0.00000
CA	P13010	0.00000
CA	P13073	0.00000
CA	P13489	0.00000
CA	P13498	0.00000
CA	P13639	0.00000
CA	P13646	0.00000
CA	P13667	0.00000
CA	P13674	0.00000
CA	P13727	0.00000
CA	P13746	0.00000
CA	P13929	0.00000
CA	P13942	0.00000
CA	P13995	0.00000
CA	P14136	0.00000
CA	P14209	0.00000
CA	P14314	0.00000
CA	P14406	0.00000
CA	P14618	0.00000
CA	P14625	0.00000
CA	P14635	0.00000
CA	P14649	0.00000
CA	P14678	0.00000
CA	P14854	0.00000
CA	P14866	0.00000
CA	P14923	0.00000
CA	P15531	0.00000
CA	P15735	0.00000
CA	P15880	0.00000
CA	P15918	0.00000
CA	P15924	0.00000
CA	P15954	0.00000
CA	P16104	0.00000
CA	P16188	0.00000
CA	P16189	0.00000
CA	P16190	0.00000
CA	P16298	0.00000
CA	P16401	0.00000
CA	P16402	0.00000
CA	P16403	0.00000
CA	P16422	0.00000
CA	P16615	0.00000
CA	P16989	0.00000
CA	P17026	0.00000
CA	P17152	0.00000
CA	P17544	0.00000
CA	P17706	0.00000
CA	P17812	0.00000
CA	P17844	0.00000
CA	P17858	0.00000
CA	P17980	0.00000
CA	P17987	0.00000
CA	P18031	0.00000
CA	P18074	0.00000
CA	P18077	0.00000
CA	P18085	0.00000
CA	P18124	0.00000
CA	P18440	0.00000
CA	P18462	0.00000
CA	P18464	0.00000
CA	P18465	0.00000
CA	P18583	0.00000
CA	P18621	0.00000
CA	P18859	0.00000
CA	P19012	0.00000
CA	P19013	0.00000
CA	P19105	0.00000
CA	P19387	0.00000
CA	P19474	0.00000
CA	P19525	0.00000
CA	P19784	0.00000
CA	P19875	0.00000
CA	P20020	0.00000
CA	P20042	0.00000
CA	P20339	0.00000
CA	P20618	0.00000
CA	P20648	0.00000
CA	P20671	0.00000
CA	P20674	0.00000
CA	P20700	0.00000
CA	P20719	0.00000
CA	P21108	0.00000
CA	P21333	0.00000
CA	P21359	0.00000
CA	P21796	0.00000
CA	P21912	0.00000
CA	P21964	0.00000
CA	P22061	0.00000
CA	P22064	0.00000
CA	P22087	0.00000
CA	P22090	0.00000
CA	P22102	0.00000
CA	P22105	0.00000
CA	P22234	0.00000
CA	P22314	0.00000
CA	P22626	0.00000
CA	P22695	0.00000
CA	P23219	0.00000
CA	P23246	0.00000
CA	P23258	0.00000
CA	P23396	0.00000
CA	P23515	0.00000
CA	P23526	0.00000
CA	P23527	0.00000
CA	P23528	0.00000
CA	P23588	0.00000
CA	P24390	0.00000
CA	P24539	0.00000
CA	P24592	0.00000
CA	P24666	0.00000
CA	P25205	0.00000
CA	P25391	0.00000
CA	P25398	0.00000
CA	P25490	0.00000
CA	P25685	0.00000
CA	P25705	0.00000
CA	P25786	0.00000
CA	P25788	0.00000
CA	P25789	0.00000
CA	P26196	0.00000
CA	P26232	0.00000
CA	P26358	0.00000
CA	P26368	0.00000
CA	P26373	0.00000
CA	P26599	0.00000
CA	P26639	0.00000
CA	P26640	0.00000
CA	P26641	0.00000
CA	P26927	0.00000
CA	P27105	0.00000
CA	P27348	0.00000
CA	P27448	0.00000
CA	P27635	0.00000
CA	P27708	0.00000
CA	P27797	0.00000
CA	P27824	0.00000
CA	P27987	0.00000
CA	P28001	0.00000
CA	P28066	0.00000
CA	P28070	0.00000
CA	P28072	0.00000
CA	P28074	0.00000
CA	P28288	0.00000
CA	P28331	0.00000
CA	P28340	0.00000
CA	P28482	0.00000
CA	P29372	0.00000
CA	P29374	0.00000
CA	P29590	0.00000
CA	P30041	0.00000
CA	P30044	0.00000
CA	P30050	0.00000
CA	P30101	0.00000
CA	P30153	0.00000
CA	P30260	0.00000
CA	P30419	0.00000
CA	P30443	0.00000
CA	P30447	0.00000
CA	P30450	0.00000
CA	P30453	0.00000
CA	P30455	0.00000
CA	P30456	0.00000
CA	P30457	0.00000
CA	P30459	0.00000
CA	P30464	0.00000
CA	P30484	0.00000
CA	P30490	0.00000
CA	P30491	0.00000
CA	P30492	0.00000
CA	P30493	0.00000
CA	P30495	0.00000
CA	P30498	0.00000
CA	P30499	0.00000
CA	P30501	0.00000
CA	P30504	0.00000
CA	P30505	0.00000
CA	P30508	0.00000
CA	P30510	0.00000
CA	P30512	0.00000
CA	P30685	0.00000
CA	P30837	0.00000
CA	P30876	0.00000
CA	P31040	0.00000
CA	P31151	0.00000
CA	P31277	0.00000
CA	P31350	0.00000
CA	P31513	0.00000
CA	P31689	0.00000
CA	P31930	0.00000
CA	P31942	0.00000
CA	P31943	0.00000
CA	P31944	0.00000
CA	P31946	0.00000
CA	P31947	0.00000
CA	P32119	0.00000
CA	P32121	0.00000
CA	P32189	0.00000
CA	P32969	0.00000
CA	P33121	0.00000
CA	P33778	0.00000
CA	P33991	0.00000
CA	P33992	0.00000
CA	P33993	0.00000
CA	P34932	0.00000
CA	P35232	0.00000
CA	P35249	0.00000
CA	P35250	0.00000
CA	P35251	0.00000
CA	P35268	0.00000
CA	P35269	0.00000
CA	P35520	0.00000
CA	P35556	0.00000
CA	P35579	0.00000
CA	P35580	0.00000
CA	P35606	0.00000
CA	P35613	0.00000
CA	P35637	0.00000
CA	P35749	0.00000
CA	P35900	0.00000
CA	P35998	0.00000
CA	P36542	0.00000
CA	P36578	0.00000
CA	P36873	0.00000
CA	P37108	0.00000
CA	P38159	0.00000
CA	P38398	0.00000
CA	P38606	0.00000
CA	P38935	0.00000
CA	P39019	0.00000
CA	P39023	0.00000
CA	P39656	0.00000
CA	P40227	0.00000
CA	P40424	0.00000
CA	P40429	0.00000
CA	P40616	0.00000
CA	P40855	0.00000
CA	P40937	0.00000
CA	P40938	0.00000
CA	P40939	0.00000
CA	P41091	0.00000
CA	P41250	0.00000
CA	P41743	0.00000
CA	P42166	0.00000
CA	P42167	0.00000
CA	P42285	0.00000
CA	P42345	0.00000
CA	P42356	0.00000
CA	P42677	0.00000
CA	P42695	0.00000
CA	P42696	0.00000
CA	P42704	0.00000
CA	P42766	0.00000
CA	P42771	0.00000
CA	P43243	0.00000
CA	P43246	0.00000
CA	P43307	0.00000
CA	P43487	0.00000
CA	P43686	0.00000
CA	P45880	0.00000
CA	P46013	0.00000
CA	P46063	0.00000
CA	P46087	0.00000
CA	P46379	0.00000
CA	P46459	0.00000
CA	P46776	0.00000
CA	P46777	0.00000
CA	P46778	0.00000
CA	P46781	0.00000
CA	P46782	0.00000
CA	P46783	0.00000
CA	P46821	0.00000
CA	P46977	0.00000
CA	P48047	0.00000
CA	P48444	0.00000
CA	P48556	0.00000
CA	P48634	0.00000
CA	P48643	0.00000
CA	P48668	0.00000
CA	P48729	0.00000
CA	P48736	0.00000
CA	P48741	0.00000
CA	P49137	0.00000
CA	P49207	0.00000
CA	P49257	0.00000
CA	P49327	0.00000
CA	P49368	0.00000
CA	P49406	0.00000
CA	P49411	0.00000
CA	P49454	0.00000
CA	P49458	0.00000
CA	P49590	0.00000
CA	P49591	0.00000
CA	P49593	0.00000
CA	P49619	0.00000
CA	P49711	0.00000
CA	P49720	0.00000
CA	P49721	0.00000
CA	P49755	0.00000
CA	P49790	0.00000
CA	P49792	0.00000
CA	P49815	0.00000
CA	P49916	0.00000
CA	P50402	0.00000
CA	P50440	0.00000
CA	P50454	0.00000
CA	P50542	0.00000
CA	P50748	0.00000
CA	P50750	0.00000
CA	P50914	0.00000
CA	P50990	0.00000
CA	P50991	0.00000
CA	P51114	0.00000
CA	P51116	0.00000
CA	P51151	0.00000
CA	P51153	0.00000
CA	P51398	0.00000
CA	P51531	0.00000
CA	P51532	0.00000
CA	P51570	0.00000
CA	P51571	0.00000
CA	P51589	0.00000
CA	P51610	0.00000
CA	P51617	0.00000
CA	P51648	0.00000
CA	P51665	0.00000
CA	P51784	0.00000
CA	P51798	0.00000
CA	P51991	0.00000
CA	P52272	0.00000
CA	P52292	0.00000
CA	P52429	0.00000
CA	P52434	0.00000
CA	P52597	0.00000
CA	P52732	0.00000
CA	P52735	0.00000
CA	P52742	0.00000
CA	P52815	0.00000
CA	P52948	0.00000
CA	P53007	0.00000
CA	P53618	0.00000
CA	P53621	0.00000
CA	P53680	0.00000
CA	P53803	0.00000
CA	P53985	0.00000
CA	P54105	0.00000
CA	P54132	0.00000
CA	P54709	0.00000
CA	P54727	0.00000
CA	P54886	0.00000
CA	P55011	0.00000
CA	P55036	0.00000
CA	P55042	0.00000
CA	P55060	0.00000
CA	P55072	0.00000
CA	P55084	0.00000
CA	P55209	0.00000
CA	P55265	0.00000
CA	P55268	0.00000
CA	P55735	0.00000
CA	P55769	0.00000
CA	P55786	0.00000
CA	P55795	0.00000
CA	P55884	0.00000
CA	P56134	0.00000
CA	P56182	0.00000
CA	P56270	0.00000
CA	P56282	0.00000
CA	P56385	0.00000
CA	P56537	0.00000
CA	P57053	0.00000
CA	P57075	0.00000
CA	P57088	0.00000
CA	P57678	0.00000
CA	P57721	0.00000
CA	P57740	0.00000
CA	P58004	0.00000
CA	P58107	0.00000
CA	P58400	0.00000
CA	P58557	0.00000
CA	P58876	0.00000
CA	P60228	0.00000
CA	P60468	0.00000
CA	P60604	0.00000
CA	P60660	0.00000
CA	P60709	0.00000
CA	P60842	0.00000
CA	P60866	0.00000
CA	P60891	0.00000
CA	P60900	0.00000
CA	P60981	0.00000
CA	P61006	0.00000
CA	P61026	0.00000
CA	P61158	0.00000
CA	P61165	0.00000
CA	P61204	0.00000
CA	P61247	0.00000
CA	P61254	0.00000
CA	P61289	0.00000
CA	P61313	0.00000
CA	P61353	0.00000
CA	P61421	0.00000
CA	P61513	0.00000
CA	P61619	0.00000
CA	P61626	0.00000
